,player,position,position_id,date,team,opp,score,fpts,min,starts
0,Martin Dubravka,G,1,May 22,NEW,@BUR,W 2-1,9.5,90,1
1,Martin Dubravka,G,1,May 16,NEW,ARS,W 2-0,17.5,90,1
2,Martin Dubravka,G,1,May 8,NEW,@MCI,L 0-5,8.5,90,1
3,Martin Dubravka,G,1,Apr 30,NEW,LIV,L 0-1,17.5,90,1
4,Martin Dubravka,G,1,Apr 23,NEW,@NOR,W 3-0,15.5,90,1
5,Martin Dubravka,G,1,Apr 20,NEW,CRY,W 1-0,15.0,90,1
6,Martin Dubravka,G,1,Apr 17,NEW,LEI,W 2-1,4.5,90,1
7,Martin Dubravka,G,1,Apr 8,NEW,WOL,W 1-0,15.0,90,1
8,Martin Dubravka,G,1,Apr 3,NEW,@TOT,L 1-5,2.5,90,1
9,Martin Dubravka,G,1,Mar 17,NEW,@EVE,L 0-1,6.5,90,1
10,Martin Dubravka,G,1,Mar 13,NEW,@CHE,L 0-1,6.0,90,1
11,Martin Dubravka,G,1,Mar 10,NEW,@SOU,W 2-1,10.0,90,1
12,Martin Dubravka,G,1,Mar 5,NEW,BHA,W 2-1,7.5,90,1
13,Martin Dubravka,G,1,Feb 26,NEW,@BRF,W 2-0,11.5,90,1
14,Martin Dubravka,G,1,Feb 19,NEW,@WHU,T 1-1,6.0,90,1
15,Martin Dubravka,G,1,Feb 13,NEW,AVL,W 1-0,14.0,90,1
16,Martin Dubravka,G,1,Feb 8,NEW,EVE,W 3-1,6.0,90,1
17,Martin Dubravka,G,1,Jan 22,NEW,@LEE,W 1-0,19.5,90,1
18,Martin Dubravka,G,1,Jan 15,NEW,WAT,T 1-1,9.0,90,1
19,Martin Dubravka,G,1,Dec 27,NEW,MUN,T 1-1,6.0,90,1
20,Martin Dubravka,G,1,Dec 19,NEW,MCI,L 0-4,6.0,90,1
21,Martin Dubravka,G,1,Dec 16,NEW,@LIV,L 1-3,11.0,90,1
22,Martin Dubravka,G,1,Dec 12,NEW,@LEI,L 0-4,3.0,90,1
23,Martin Dubravka,G,1,Dec 4,NEW,BUR,W 1-0,15.5,90,1
24,Martin Dubravka,G,1,Nov 30,NEW,NOR,T 1-1,11.0,90,1
25,Martin Dubravka,G,1,Nov 27,NEW,@ARS,L 0-2,9.0,90,1
0,Karl Darlow,G,1,Nov 20,NEW,BRF,T 3-3,5.0,90,1
1,Karl Darlow,G,1,Nov 6,NEW,@BHA,T 1-1,9.0,90,1
2,Karl Darlow,G,1,Oct 30,NEW,CHE,L 0-3,6.5,90,1
3,Karl Darlow,G,1,Oct 23,NEW,@CRY,T 1-1,7.5,90,1
4,Karl Darlow,G,1,Oct 17,NEW,TOT,L 2-3,6.5,90,1
5,Karl Darlow,G,1,Oct 2,NEW,@WOL,L 1-2,4.0,90,1
6,Karl Darlow,G,1,Sep 25,NEW,@WAT,T 1-1,5.5,90,1
7,Karl Darlow,G,1,Sep 17,NEW,LEE,T 1-1,16.5,90,1
0,Freddie Woodman,G,1,Sep 11,NEW,@MUN,L 1-4,4.5,90,1
1,Freddie Woodman,G,1,Aug 28,NEW,SOU,T 2-2,8.5,90,1
2,Freddie Woodman,G,1,Aug 21,NEW,@AVL,L 0-2,2.5,90,1
3,Freddie Woodman,G,1,Aug 15,NEW,WHU,L 2-4,12.5,90,1
0,Kieran Trippier,D,2,May 22,NEW,@BUR,W 2-1,8.05,90,1
1,Kieran Trippier,D,2,May 8,NEW,@MCI,L 0-5,2.1,21,0
2,Kieran Trippier,D,2,Feb 13,NEW,AVL,W 1-0,17.25,47,1
3,Kieran Trippier,D,2,Feb 8,NEW,EVE,W 3-1,20.85,88,1
4,Kieran Trippier,D,2,Jan 22,NEW,@LEE,W 1-0,19.9,90,1
5,Kieran Trippier,D,2,Jan 15,NEW,WAT,T 1-1,15.85,90,1
0,Javier Manquillo,D,2,Apr 3,NEW,@TOT,L 1-5,2.95,58,1
1,Javier Manquillo,D,2,Mar 17,NEW,@EVE,L 0-1,0.5,1,0
2,Javier Manquillo,D,2,Mar 13,NEW,@CHE,L 0-1,5.0,88,1
3,Javier Manquillo,D,2,Mar 10,NEW,@SOU,W 2-1,0.5,1,0
4,Javier Manquillo,D,2,Feb 13,NEW,AVL,W 1-0,3.1,45,1
5,Javier Manquillo,D,2,Feb 8,NEW,EVE,W 3-1,2.75,1,0
6,Javier Manquillo,D,2,Jan 22,NEW,@LEE,W 1-0,9.45,26,0
7,Javier Manquillo,D,2,Dec 27,NEW,MUN,T 1-1,9.5,90,1
8,Javier Manquillo,D,2,Dec 16,NEW,@LIV,L 1-3,9.9,90,1
9,Javier Manquillo,D,2,Dec 12,NEW,@LEI,L 0-4,4.35,90,1
10,Javier Manquillo,D,2,Dec 4,NEW,BUR,W 1-0,13.75,90,1
