,player,position,position_id,date,team,opp,score,fpts,min,starts
0,Lukasz Fabianski,G,1,May 22,WHU,@BHA,L 1-3,8.5,90,1
1,Lukasz Fabianski,G,1,May 15,WHU,MCI,T 2-2,17.5,90,1
2,Lukasz Fabianski,G,1,May 8,WHU,@NOR,W 4-0,15.5,90,1
3,Lukasz Fabianski,G,1,May 1,WHU,ARS,L 1-2,11.0,90,1
4,Lukasz Fabianski,G,1,Apr 24,WHU,@CHE,L 0-1,14.0,90,1
5,Lukasz Fabianski,G,1,Apr 17,WHU,BUR,T 1-1,1.5,90,1
6,Lukasz Fabianski,G,1,Apr 10,WHU,@BRF,L 0-2,12.0,90,1
7,Lukasz Fabianski,G,1,Apr 3,WHU,EVE,W 2-1,6.0,90,1
8,Lukasz Fabianski,G,1,Mar 20,WHU,@TOT,L 1-3,5.5,90,1
9,Lukasz Fabianski,G,1,Mar 13,WHU,AVL,W 2-1,12.5,90,1
10,Lukasz Fabianski,G,1,Mar 5,WHU,@LIV,L 0-1,9.0,90,1
11,Lukasz Fabianski,G,1,Feb 27,WHU,WOL,W 1-0,14.5,90,1
12,Lukasz Fabianski,G,1,Feb 19,WHU,NEW,T 1-1,7.5,90,1
13,Lukasz Fabianski,G,1,Feb 13,WHU,@LEI,T 2-2,4.0,90,1
14,Lukasz Fabianski,G,1,Feb 8,WHU,WAT,W 1-0,16.0,90,1
15,Lukasz Fabianski,G,1,Jan 16,WHU,LEE,L 2-3,5.0,90,1
16,Lukasz Fabianski,G,1,Jan 12,WHU,NOR,W 2-0,16.5,90,1
17,Lukasz Fabianski,G,1,Jan 1,WHU,@CRY,W 3-2,9.5,90,1
18,Lukasz Fabianski,G,1,Dec 28,WHU,@WAT,W 4-1,9.0,90,1
19,Lukasz Fabianski,G,1,Dec 26,WHU,SOU,L 2-3,6.5,90,1
20,Lukasz Fabianski,G,1,Dec 15,WHU,@ARS,L 0-2,16.5,90,1
21,Lukasz Fabianski,G,1,Dec 12,WHU,@BUR,T 0-0,14.5,90,1
22,Lukasz Fabianski,G,1,Dec 4,WHU,CHE,W 3-2,10.0,90,1
23,Lukasz Fabianski,G,1,Dec 1,WHU,BHA,T 1-1,6.0,90,1
24,Lukasz Fabianski,G,1,Nov 28,WHU,@MCI,L 1-2,11.5,90,1
25,Lukasz Fabianski,G,1,Nov 20,WHU,@WOL,L 0-1,9.5,90,1
26,Lukasz Fabianski,G,1,Nov 7,WHU,LIV,W 3-2,7.0,90,1
27,Lukasz Fabianski,G,1,Oct 31,WHU,@AVL,W 4-1,7.5,90,1
28,Lukasz Fabianski,G,1,Oct 24,WHU,TOT,W 1-0,19.0,90,1
29,Lukasz Fabianski,G,1,Oct 17,WHU,@EVE,W 1-0,15.5,90,1
30,Lukasz Fabianski,G,1,Oct 3,WHU,BRF,L 1-2,9.5,90,1
31,Lukasz Fabianski,G,1,Sep 25,WHU,@LEE,W 2-1,9.0,90,1
32,Lukasz Fabianski,G,1,Sep 19,WHU,MUN,L 1-2,15.0,90,1
33,Lukasz Fabianski,G,1,Sep 11,WHU,@SOU,T 0-0,15.0,90,1
34,Lukasz Fabianski,G,1,Aug 28,WHU,CRY,T 2-2,2.5,90,1
35,Lukasz Fabianski,G,1,Aug 23,WHU,LEI,W 4-1,3.0,90,1
